player_id,names,born,bat_type,bowl_type,height,matches,country
596073,Lesego Senokwane,"May 24, 1997, Klerksdorp, North West Province, South Africa",Right-hand bat,Right-arm offbreak,0,5,South Africa
22144,Shaun David Udal,"March 18, 1969, Cove, Farnborough, Hampshire",Right-hand bat,Right-arm offbreak,6 ft 3 in,60,England
914623,Liam Trevaskis,"April 18, 1999, Carlisle, Cumberland",Left-hand bat,Slow left-arm orthodox,0,1,England
697877,Irfanullah Shah,"May 5, 1995, Bannu",Right-hand bat,Right-arm medium-fast,0,3,Pakistan
1081481,Ajay Kookna,date unknown,0,0,0,0,India
344335,Pawan Kumar,"December 7, 1985, Kathar Jalandhar, India",Right-hand bat,Right-arm medium,0,2,Denmark
210296,Oliver Philip Rayner,"November 1, 1985, Fallingbostel, Germany",Right-hand bat,Right-arm offbreak,6 ft 5 in,71,England
334388,Liam Nicholas O'Connor,"June 20, 1993, Perth",Right-hand bat,Legbreak,0,8,Australia
718553,Ehsan Nawaz,"March 21, 1995, Attock, Pakistan",Right-hand bat,Right-arm fast-medium,0,7,Hong Kong
384355,Anaru Kyle Kitchen,"February 21, 1984, Auckland",Right-hand bat,Slow left-arm orthodox,0,97,New Zealand
1028655,Pathum Nissanka,"May 18, 1998, Galle",Right-hand bat,0,0,5,Sri Lanka
925875,Krishanthujan Jayakumar,"December 5, 1997, Jaffna",Right-hand bat,Right-arm offbreak,0,0,
328026,Isuru Udana Tillakaratna,"February 17, 1988, Balangoda",Right-hand bat,Left-arm medium-fast,0,89,Sri Lanka
477071,Baba Aparajith,"July 8, 1994, Chennai",Right-hand bat,Right-arm offbreak,0,33,India
273489,Andy Dextor Solomons,"September 18, 1987, Colombo",Right-hand bat,Right-arm fast-medium,0,30,Sri Lanka
43654,Yasir Arafat Satti,"March 12, 1982, Rawalpindi, Punjab",Right-hand bat,Right-arm fast-medium,0,226,Pakistan
5681,George Bradley Hogg,"February 6, 1971, Narrogin, Western Australia",Left-hand bat,Slow left-arm chinaman,1.83 m,141,Australia
1094348,Hamidullah Qadri,"December 5, 2000, Kandahar",0,Right-arm offbreak,0,1,England
381023,Samuel Fese Mofokeng,"August 5, 1991, Bloemfontein, Orange Free State",Right-hand bat,Right-arm fast-medium,0,19,South Africa
451782,James Kerr Fuller,"January 24, 1990, Cape Town, Cape Province",Right-hand bat,Right-arm fast,0,62,New Zealand
44115,Derek Brand,"May 29, 1975, Bellville, Cape Province",Right-hand bat,Right-arm medium,0,5,South Africa
